timestamp_ms,elapsed_ms,client_01_bytes,client_01_concurrency,client_01_retries,client_01_success_ratio,client_01_predicted_bandwidth,client_01_predicted_max_rtt,client_01_predicted_max_rtt_standard_error,total_bytes,total_retries,total_concurrency,average_concurrency
1770243491703,0,0,1,0,1.000000,12874920.459570,5.212591,0.000000,0,0,1,1.00
1770243491953,250,0,1,0,1.000000,22434774.974834,2.426779,0.000000,0,0,1,1.00
1770243492203,500,0,1,0,1.000000,25241146.139833,1.880591,0.000000,0,0,1,1.00
1770243492453,750,0,1,0,1.000000,26234396.456382,1.576348,0.000000,0,0,1,1.00
1770243492703,1000,0,1,0,1.000000,26116761.220170,1.385096,0.000000,0,0,1,1.00
1770243492953,1250,56280757,2,0,1.000000,28862020.567517,2.484178,0.000000,56280757,0,2,2.00
1770243493203,1500,56280757,2,0,1.000000,29484301.144844,2.496485,0.000000,56280757,0,2,2.00
1770243493453,1750,56280757,3,0,1.000000,31024475.783727,3.679423,0.000000,56280757,0,3,3.00
1770243493703,2000,56280757,3,0,1.000000,30387281.208230,3.547962,0.000000,56280757,0,3,3.00
1770243493953,2250,56280757,4,0,1.000000,18173700.848854,2.678639,0.000000,56280757,0,4,4.00
1770243494203,2500,121236448,4,0,1.000000,14968235.365448,1.639038,3.046514,121236448,0,4,4.00
1770243494453,2750,188156050,5,0,1.000000,16474052.706825,2.097330,0.686047,188156050,0,5,5.00
1770243494703,3000,188156050,5,0,1.000000,17987316.174477,2.122329,0.714267,188156050,0,5,5.00
1770243494953,3250,246233630,6,0,1.000000,18269168.565168,2.169461,0.658534,246233630,0,6,6.00
1770243495203,3500,303015811,6,0,1.000000,15794743.335851,1.753157,0.505621,303015811,0,6,6.00
1770243495453,3750,359692786,6,0,1.000000,16576881.059115,1.757356,0.381539,359692786,0,6,6.00
1770243495703,4000,419228821,7,0,1.000000,15804985.783658,1.767500,0.395886,419228821,0,7,7.00
1770243495953,4250,531236491,8,0,1.000000,17045055.819040,1.819974,0.365632,531236491,0,8,8.00
1770243496203,4500,594581325,8,0,1.000000,15886614.736085,1.659289,0.292550,594581325,0,8,8.00
1770243496453,4750,704451850,8,0,1.000000,15783369.859109,1.551625,0.232857,704451850,0,8,8.00
1770243496703,5000,704451850,9,0,1.000000,16775989.467583,1.689913,0.298596,704451850,0,9,9.00
1770243496953,5250,897184939,9,0,1.000000,15997271.451744,1.523019,0.178206,897184939,0,9,9.00
1770243497203,5500,961894799,10,0,1.000000,16702383.012716,1.611686,0.197009,961894799,0,10,10.00
1770243497453,5750,1082949443,10,0,1.000000,16845009.683294,1.540648,0.164993,1082949443,0,10,10.00
1770243497703,6000,1135652177,11,0,1.000000,17544682.062906,1.600833,0.194237,1135652177,0,11,11.00
1770243497953,6250,1262983303,11,0,1.000000,18840828.193348,1.570806,0.167868,1262983303,0,11,11.00
1770243498203,6500,1438987666,12,0,1.000000,18753413.937231,1.597262,0.151408,1438987666,0,12,12.00
1770243498453,6750,1559348362,12,0,1.000000,19383681.742345,1.561089,0.131101,1559348362,0,12,12.00
1770243498703,7000,1673674893,12,0,1.000000,20152017.882109,1.523064,0.122884,1673674893,0,12,12.00
1770243498953,7250,1856625661,13,0,1.000000,20116362.645715,1.520298,0.119983,1856625661,0,13,13.00
1770243499203,7500,1976437432,14,0,1.000000,21056322.689455,1.572000,0.127213,1976437432,0,14,14.00
